visit,year,date,start,end,duration,num_obs,obs_hrs,corms,comu
1,2023,2023-05-22,8:00,9:00,1:00,1,1:00,1,0
2,2023,2023-05-29,13:00,13:30,0:30,0,0:00,1,0
3,2023,2023-06-05,8:45,9:30,0:45,1,0:45,1,0
4,2023,2023-06-06,5:40,9:15,3:35,1,3:35,1,0
5,2023,2023-06-07,6:00,9:10,3:10,2,6:20,1,0
6,2023,2023-06-09,6:10,9:30,3:20,2,6:40,1,0
7,2023,2023-06-12,6:05,8:50,2:45,1,2:45,1,1
8,2023,2023-06-13,5:55,8:00,2:05,1,2:05,1,1
9,2023,2023-06-14,5:55,9:35,3:40,2,7:20,1,1
10,2023,2023-06-16,6:05,9:25,3:20,2,6:40,1,1
11,2023,2023-06-19,6:10,8:10,2:00,1,2:00,1,1
12,2023,2023-06-21,6:30,9:45,3:15,1,3:15,1,1
13,2023,2023-06-23,5:55,8:50,2:55,4,11:40,1,1
14,2023,2023-06-26,6:10,9:30,3:20,3,10:00,1,1
15,2023,2023-06-28,6:05,9:30,3:25,4,13:40,1,1
16,2023,2023-06-30,6:15,9:30,3:15,3,9:45,1,1
17,2023,2023-07-05,6:05,8:35,2:30,3,7:30,1,1
18,2023,2023-07-09,5:58,9:30,3:32,1,3:32,1,1
19,2023,2023-07-12,6:15,9:30,3:15,4,13:00,1,1
20,2023,2023-07-14,6:10,8:15,2:05,3,6:15,1,1
21,2023,2023-07-17,6:05,8:20,2:15,3,6:45,1,1
22,2023,2023-07-19,6:15,8:15,2:00,4,8:00,1,1
23,2023,2023-07-21,6:15,8:30,2:15,4,9:00,1,1
24,2023,2023-07-24,6:10,9:00,2:50,3,8:30,1,1
25,2023,2023-07-26,6:10,9:00,2:50,4,11:20,1,1
26,2023,2023-07-28,6:05,9:15,3:10,4,12:40,1,1
27,2023,2023-07-31,6:02,8:35,2:33,3,7:39,1,1
28,2023,2023-08-02,6:10,9:30,3:20,3,10:00,1,1
29,2023,2023-08-04,6:10,9:20,3:10,2,6:20,1,1
30,2023,2023-08-07,6:07,9:15,3:08,2,6:16,0,1
31,2023,2023-08-09,16:12,18:15,2:03,2,4:06,0,1
32,2023,2023-08-11,6:10,9:50,3:40,3,11:00,0,1
33,2023,2023-08-14,6:15,8:45,2:30,2,5:00,0,1
34,2023,2023-08-17,8:30,10:30,2:00,2,4:00,0,1
35,2023,2023-08-18,7:15,8:15,1:00,1,1:00,0,1
36,2023,2023-08-21,6:30,8:45,2:15,2,4:30,0,1
37,2023,2023-08-24,6:51,8:35,1:44,1,1:44,0,1
38,2023,2023-08-26,7:04,8:10,1:06,1,1:06,0,1
39,2023,2023-08-31,18:10,19:05,0:55,1,0:55,0,1
40,2023,2023-09-04,6:59,8:00,1:01,1,1:01,0,1
